"","YearEnd","LocationDesc","Stratification1","Soda 1/day","Obesity","Overweight","PE daily","TV >3hrs daily","No vege daily","No fruit daily","Excercise Daily > 1hr"
"132",2015,"Wyoming","Female",15.6,8,13.9,21.2,22,34,41.2,20.5
"133",2013,"Alabama","Female",29.4,13.5,16.2,28,32.8,44.8,48.2,14.1
"134",2013,"Alaska","Female",10.9,11.4,12.7,11.7,19.6,36.9,39.5,14.2
"135",2013,"Arizona","Female",16.9,7.1,12,18.5,27.7,39.9402898550725,43.6245989304813,15.5
"136",2013,"Arkansas","Female",29.4,11.7,15,21.5,30.6,44,52.4,21.1
"137",2013,"Connecticut","Female",10.4,10.1,13.5,21.6532033426184,23.2,34.5,38,18.7
"138",2013,"Delaware","Female",19.2,11,17.3,9,31.1,39.9402898550725,38.1,14.8
"139",2013,"Florida","Female",19,8.2,16,17.3,30.8,43.6,42.8,16.4
"140",2013,"Georgia","Female",23.3,11.1,16.8,28.8,32.7,45.1,44.4,15.1
"141",2013,"Hawaii","Female",12,9.6,14.3,7.4,27.8,39.9402898550725,46.2,13.6
"142",2013,"Idaho","Female",12.4,5.9,16,16.1,18.3,34.1,38.7,17.2
"143",2013,"Illinois","Female",18,9.2,12.7,63.3,29.6,40.6,38.1,19.3
"144",2013,"Kansas","Female",18.9,9.1,14.6,22.7,23.8,38.6,43.4,19.1
"145",2013,"Kentucky","Female",29.6,11.3,17,16.1,28.8,43.5,44.3,15.4
"146",2013,"Louisiana","Female",19.6482394366197,12.8,15.8,30,34.7,39.9402898550725,43.6245989304813,16.5565836298932
"147",2013,"Maine","Female",19.6482394366197,8.1,13.4,3.9,22.1,39.9402898550725,36.5,16.9
"148",2013,"Maryland","Female",15,8.2,14.8,13.9,32.2,37.9,39.8,16
"149",2013,"Massachusetts","Female",10.6,7,11.5,14.6,24.5,39.9402898550725,43.6245989304813,16.4
"150",2013,"Michigan","Female",15.4,8.7,15.3,21.2,26.2,36.8,38.8,19.5
"151",2013,"Mississippi","Female",34.7,11.7,16.3,25.2,40.7,47.2,55.5,17.5
"152",2013,"Missouri","Female",21.1,11.1,16.3,24.4,24.5,43.7,47.6,18
"153",2013,"Montana","Female",12.7,5.6,11.2,30.8,20.4,32.4,38.8,19.6
"154",2013,"National","Female",24.1,10.9,16.6,24,32.2,38.7,40,17.7
"155",2013,"Nebraska","Female",17.2,7.9,11.8,30,21.6,37.2,37.1,23.9
"156",2013,"Nevada","Female",13.5,7.5,14.9,25.8,29.9,40,40.4,17.2
"157",2013,"New Hampshire","Female",19.6482394366197,7.4,14.2,14.2,27.9302139037433,39.9402898550725,43.6245989304813,15.3
"158",2013,"New Jersey","Female",10.2,4.9,12.4,45.3,29.5,37.1,35.4,17.1
"159",2013,"New Mexico","Female",17.3,8.5,15,20.6,25.7,37.7,44.8,23.5
"160",2013,"New York","Female",15.8,8.9,13.7,18.2,26.4,39.9402898550725,39.3,17.6
"161",2013,"North Carolina","Female",24.8,9.6,16,21.6532033426184,34.5,39,44.4,15.4
"162",2013,"North Dakota","Female",16.3,10.1,15.1,21.6532033426184,18.6,38,33.4,19
"163",2013,"Ohio","Female",16.1,8.3,16.7,21.6532033426184,29.1,35.5,37.5,17.6
"164",2013,"Oklahoma","Female",29.1,9.7,15.9,29.2,31.4,46.7,50.4,26.6
"165",2013,"Rhode Island","Female",14.4,7.8,17,26.7,26.3,34.8,37.6,15.9
"166",2013,"South Carolina","Female",28.7,9.6,18.3,21.6532033426184,36,48.8,48.8,15.4
"167",2013,"South Dakota","Female",16.3,7.1,11.6,14.7,23.5,33.9,37.2,20.6
"168",2013,"Tennessee","Female",32.4,13.7,16.8,21.2,34.4,46.2,46.3,15.8
"169",2013,"Texas","Female",22.9,11.8,16.4,34,32.2,49.3,43.7,20.6
"170",2013,"Utah","Female",9.4,4.5,11.1,15.2,14.9,30.9,34,11.5
"171",2013,"Vermont","Female",19.6482394366197,9.5,14.7,11.4,27.9302139037433,39.9402898550725,43.6245989304813,17.7
"172",2013,"Virginia","Female",19.7,9.4,14.8,11.9,28.1,38.7,41.2,15.9
"173",2013,"West Virginia","Female",33.7,12.5,14.8,27.5,32.1,38,43,19.6
"174",2013,"Wisconsin","Female",14.7,8.1,14,38.5,23.4,39.9402898550725,30.7,18.3
"175",2013,"Wyoming","Female",18.6,8.4,13,19.8,19.5,30.9,40.5,19.9
"176",2011,"Alabama","Female",39,14.3,16.3,25.7,40.2,50,47.5,15
"177",2011,"Alaska","Female",11.9,8.8,14.7,12.8,21.9,33.3,38.6,14.3
"178",2011,"Arizona","Female",17.6,6.9,12.6,23.2,26.6,39.9402898550725,43.6245989304813,18.1
"179",2011,"Arkansas","Female",34.6,10.3,16.3,20.4,35.8,44,52,16.5565836298932
"180",2011,"Colorado","Female",17.9,2.6,8.2,21.6532033426184,19.2,39.9402898550725,43.6245989304813,21.3
"181",2011,"Connecticut","Female",19.6482394366197,8.4,11.7,21.6532033426184,26.7,32.1,34.9,17
"182",2011,"Delaware","Female",22.5,9.5,19.7,23.3,36.3,39.9402898550725,49.3,17.6
"183",2011,"District of Columbia","Female",24.2,15.5,19.5,12.3,40.5,45.5,39.3,13
"184",2011,"Florida","Female",22.6,7.7,13.4,16.2,35.5,41.9,39.5,16.5565836298932
"185",2011,"Georgia","Female",24.9,11.7,14.9,21.9,39.1,43.4,46.3,14.2
"186",2011,"Hawaii","Female",14.1,8.7,13.2,4,28.7,40.7,47.1,13.6
"187",2011,"Idaho","Female",12,6.9,12.4,16.8,19.4,31.9,34.3,14.5
