"","X","Soda_a_day","Obesity","Overweight","PE_daily","TV_.3hrs_daily","No_vege_daily","No_fruit_daily","Excercise_Daily_..1hr","total"
"166",166,29.2,13.9,16.8,23.9,33.3,45.6,45.7,23.8,42
"167",167,23.6,11.9,13.2,18.5,23.6,35.7,36.9,27.7,43
"168",168,32.8,16.9,15.4,22.3,34.1,45.9,45.4,25.4,44
"169",169,25,15.7,15.6,38.3,32.9,47.4,42.1,30,45
"170",170,13.5,6.4,11,18.6,14.9,30.8,33,19.7,46
"171",171,19.7,13.2,15.8,14.5,21.5,39.1,44.1,25.4,47
"172",172,21.7,12,14.7,13.3,28.2,38.7,38.7,23.8,48
"173",173,38,15.6,15.5,30.7,32.9,37.5,39.4,31,49
"174",174,19.6,11.6,13,39.4,22.5,35.1,32.1,24,50
"175",175,24.3,10.7,12.8,23.7,22.1,31.1,38.8,28.2,51
"176",176,40.9,17,15.8,35.2,40.6,45.7,44.4,28.4,1
"177",177,17.6,11.5,14.4,17.4,23.8,34.1,39.1,21.3,2
"178",178,24.1,10.9,13.9,29.6,28.6,38.7,40.5,25,3
"179",179,34.7,15.2,15.4,24.2,31.8,43.2,49.4,21.5,4
"180",180,23,7.3,10.7,44.7,21.2,30.8,37.9,29.2,6
"181",181,21.6,12.5,14.1,21.3,27.1,35.3,34.6,26,7
"182",182,26.1,12.2,16.9,25.3,37.3,43.2,46,24.9,8
"183",183,23.9,14.5,18,11.9,38.3,44.9,39.1,16.8,9
"184",184,26,11.5,13.6,22.7,37.1,42.1,37.2,25.4,10
"185",185,28.2,15,15.8,29.7,36.6,43.1,42.9,25.2,11
"186",186,17.5,13.2,13.4,6.9,31.7,40.8,45.1,21,13
"187",187,17.9,9.2,13.4,25.6,21.7,32.2,33.9,25.9,14
"188",188,26.1,11.6,14.5,71.2,29.1,42.3,38.7,23.2,15
"189",189,28.5,14.7,15.5,19.7,27,42,44.7,24.2,16
"190",190,28.1,13.2,14.5,22.6,23.5,35.1,36.1,29.1,17
"191",191,23.1,10.2,13.9,26.2,25.1,35.7,40.4,30.2,18
"192",192,36.4,16.5,15.4,20,32,43.2,49.7,21.9,19
"193",193,40.1,16.1,19.5,42.5,41.1,50.1,47.8,24.2,20
"194",194,18,11.5,14,6.3,24.1,33.5,37.5,23.7,21
"195",195,24.9,12,15.4,19.3,34.2,38.9,38.7,21.2,22
"196",196,18.3,9.9,14.6,17.6,28.4,34.7,32.7,25.4,23
"197",197,23.6,12.1,15.3,26.7,29.5,36.8,37.8,27,24
"198",198,40.5,15.8,16.5,29.2,42.9,42.4,39.8,25.9,25
"199",199,23.4,8.5,12.9,33.1,22.1,33.5,38.4,28.7,27
"200",200,27.8,13,15.2,31.5,32.4,37.7,36,28.7,28
"201",201,26.2,11.6,13.6,33.5,25.2,38,41,28,29
"202",202,24.2,12.1,14.1,23,24.7,31.8,36.8,25.7,31
"203",203,18.5,11,15.2,55.2,32.9,34.9,39.1,29.2,32
"204",204,27.9,12.8,14.4,28.4,29.4,37.1,40.8,26.3,33
"205",205,21.4,11,14.7,18.5,30.6,33.4,34.7,25.1,34
"206",206,30.4,12.9,15.9,20,34.7,39.6,44.5,26,35
"207",207,26.8,11,14.5,63.6,24.8,39.4,36.4,31,36
"208",208,25.2,14.7,15.3,23.3,30.9,42.2,42.4,25.4,37
"209",209,35.7,16.7,16.3,30.9,29.9,40.4,44.3,33.1,38
"210",210,20.2,10.8,14.9,23.2,28,35.3,36.5,26.7,41
"211",211,33,13.3,16.3,24.2,39.2,47.8,50.6,25.8,42
"212",212,28.4,9.8,14.1,20.6,23.8,38.8,41.2,27.3,43
"213",213,40.2,15.2,17.3,23.2,35.1,41.4,44.9,30.2,44
"214",214,29,15.6,16,36,37.2,47.5,42.1,27.1,45
"215",215,14.3,8.6,12.2,15.7,19.3,31.8,32.5,20.8,46
"216",216,16.1,9.9,13,13.4,22.1,26.4,30.7,24.4,47
"217",217,24.3,11.1,17.2,17.7,31.1,41.7,39.8,24.1,48
"218",218,39.1,14.6,15.7,27.7,31.2,34.9,37.8,29,49
"219",219,23.1,10.4,15,37.6,24,35.7,34.1,27.7,50
"220",220,25.9,11.1,12,21.7,20.6,31.4,37.9,25.8,51
"221",221,38.8,13.3,17.2,31.8,37.8,45.1,51.6,19.4,1
"222",222,20.1,11.9,14.3,17.7,24.8,36.1,40.5,20.2,2
"223",223,28.1,12.8,14.3,32.6,33.3,35.1,36.4,25.7,3
"224",224,33.5,14.3,15.6,22.7,36.4,45.3,47.5,19.4,4
"225",225,24.6,6.9,10.9,20.7,25.1,33.2,34.1,26.9,6
"226",226,23.1,10.2,14.3,29.7,30.2,35.1,33.6,24.6,7
"227",227,28.8,13.5,15.6,25.4,37.7,41.4,44.2,23.8,8
"228",228,28.6,10.3,14.7,26.7,38.2,43,39.3,23.8,10
"229",229,29.7,12.3,14.7,29.8,39.2,40.6,42.3,23.7,11
"230",230,20.8,14.2,13.7,11.4,30.1,39.3,44.2,18.1,13
"231",231,18.3,8.7,11.8,23.7,21.9,34.6,37.7,27.6,14
"232",232,31.1,11.9,15.4,67.5,35.7,44.8,40.6,24.1,15
"233",233,29.7,12.6,15.7,23,29,41.2,43.6,23.4,16
"234",234,30.7,12.2,12.9,20.1,28.3,36,38.3,27.8,18
"235",235,35.7,17.4,15.4,23.1,28.8,41.3,49.2,21.4,19
"236",236,36.6,14.4,17.7,36.4,40.3,48.2,49.8,26.7,20
"237",237,24.3,12.5,15.1,5.4,25.4,33.9,39.9,17.9,21
"238",238,21.3,12,15.4,20,39.1,39.1,35.8,17.9,22
"239",239,21,10.8,14,17.9,30.4,39.1,40.5,22.6,23
"240",240,27.6,11.9,14.1,31,29.6,37.8,38.5,25.3,24
"241",241,40.2,18.1,16.3,26.1,44.9,45.3,42.1,23,25
"242",242,31.5,14.3,14.3,33.1,32.4,37.5,44.1,26.7,26
"243",243,25.7,10.3,11.8,32.2,23.7,33.9,39.3,21.1,27
"244",244,29.2,11.8,15.6,33.3,32.8,37.3,35.2,32.3,28
"245",245,22.1,10.9,13.2,13.2,35.1,44.9,43.9,24.9,30
"246",246,22.1,11.9,12.8,24,23,38.6,40.6,23.3,31
"247",247,19.9,10.2,14.1,34.9,32.6,37.1,36,21,32
"248",248,30.4,13.5,14.6,30.2,32.6,39.4,43.5,23.4,33
"249",249,24.5,10.8,15.3,15.4,32.7,41.5,37,23.1,34
"250",250,32.5,13.2,14.4,25.9,36.2,41.2,45.1,24.1,35
"251",251,26.3,10.9,13.4,33.3,25.6,41.4,42,25.9,36
"252",252,38.1,14,16.2,31.4,29,45.8,49.2,27.5,38
"253",253,25.7,11.7,15.8,20.9,30.8,36.2,39.1,27.7,39
"254",254,21.2,10.2,16.5,22.2,29.1,36.9,35.2,23.8,41
"255",255,33.2,16.5,15,16.8,39.7,50.9,51.5,17.1,42
"256",256,28.8,9.5,12.5,19,22.6,39.4,42.4,26.4,43
"257",257,41.3,15.7,16,22.9,37.7,43.9,47,24.2,44
"258",258,32.8,13.2,15.2,37.4,36.3,44.5,40.2,27.2,45
"259",259,14.5,6.3,10.3,21.8,16.3,32.6,35.2,23.3,46
"260",260,22.9,12.2,13.6,19.4,23.6,28.5,33.4,23.7,47
"261",261,34.5,14.1,14.3,24,31.5,37.8,41.6,22.6,49
"262",262,23.1,9.3,13.9,43.2,23.1,35.8,34.4,23.8,50
"263",263,27,9.7,12.4,22.7,22,33.4,41.3,25.6,51
"264",264,21.8,11,16.1,17.7,23,39,41.6,18.7,2
"265",265,29.5,11.6,14,26.9,28.2,44.4,46.2,21.6,3
"266",266,39.4,13.7,15.6,31.3,34.3,47.5,51.5,23.7,4
"267",267,21.3,12.2,13.1,32,30.1,33.5,34.9,24.2,7
