"","YearStart","LocationAbbr","StratificationCategory1","Stratification1","Soda","Obesity","Overweight","DailyPE","WatchTV","Veg","Fruit","Exercise"
"1087",2019,"MS","Grade","10th",22.4,25.3,17,23.3,24.8,55.4,53.3,25.3
"1088",2019,"MD","Grade","10th",13.2,13.3,15.8,11.3,20.6,42.4,46.4,20.3
"1089",2019,"AR","Race/Ethnicity","Hispanic",20.7,23,20.8,13.8,22.4,47.5,38.2,21.1
"1090",2001,"ME","Grade","9th",NA,11.4,12.9,4.9,25.4,25.2,35.4,NA
"1091",2015,"MA","Race/Ethnicity","Hispanic",16.9,15,19.9,22.8,NA,50.8,36.5,17.4
"1092",2005,"IN","Race/Ethnicity","Non-Hispanic White",NA,14.3,13.8,26.9,28,37.7,46,NA
"1093",2017,"LA","Grade","11th",31.1,16.4,17.6,24.7,26.8,49.6,48,20.3
"1094",2003,"FL","Race/Ethnicity","Hispanic",NA,10.8,18.2,21.2,47.9,49.7,41.6,NA
"1095",2015,"AL","Gender","Female",28.6,13.5,17,25.2,33.5,51,53.1,15.2
"1096",2015,"AZ","Grade","9th",21.1,11.9,15.4,47.4,25.8,40.1,37.2,32.7
"1097",2015,"SC","Grade","10th",24.2,13.6,17.9,18.5,29.5,52,52.9,23
"1098",2007,"NC","Gender","Male",38.5,15.9,17,35.4,36.5,46.9,47.5,31.5
"1099",2011,"US","Race/Ethnicity","Asian",17.6,9.8,10.8,28.2,26.1,36.1,38.5,19.8
"1100",2019,"NC","Total","Total",19.7,15.4,16,23,20.1,45.5,47.7,19.9
"1101",2015,"WV","Grade","12th",33.4,19.7,17.8,8.6,29.1,44.2,44.3,20.7
"1102",2013,"ME","Race/Ethnicity","2 or more races",NA,18.2,15.3,3.2,23.5,NA,39.7,21.7
"1103",2019,"NH","Race/Ethnicity","2 or more races",8.4,14.2,15.3,NA,NA,NA,NA,21.2
"1104",2009,"VT","Race/Ethnicity","Non-Hispanic White",21.7,12.1,13.6,19.2,NA,28.3,33.4,23.3
"1105",2019,"PA","Grade","9th",12.4,14.1,13.5,30.1,20.1,39.7,43.3,26.4
"1106",2019,"SC","Grade","12th",18.7,12.2,18.7,5.8,21.9,47.7,47.2,18.4
"1107",2019,"KY","Race/Ethnicity","Non-Hispanic White",27.8,18.3,18.7,17.5,20.3,51.9,53.6,19.2
"1108",2013,"MD","Race/Ethnicity","Non-Hispanic Black",18.9,13.5,17.7,15.4,43.6,48.6,44.3,18.2
"1109",2019,"CO","Grade","12th",NA,10.3,11.3,16,NA,33.1,43.2,25.5
"1110",2013,"AK","Grade","9th",15.5,12.4,14.1,16.1,21.7,41.3,37.9,23.3
"1111",2019,"MO","Race/Ethnicity","Non-Hispanic Black",16.4,NA,NA,NA,NA,NA,49.5,NA
"1112",2009,"IL","Race/Ethnicity","Non-Hispanic White",32.2,9.7,13,72.1,28.9,40.5,39.4,26.2
"1113",2019,"CT","Gender","Male",15.5,16.6,13.8,NA,21.5,39.2,40,31.2
"1114",2007,"TN","Gender","Female",41.7,11.9,19.8,26.9,39.5,42.2,48.5,13.2
"1115",2015,"WV","Grade","9th",22.9,16.7,17.8,47.6,26.1,47.9,44.6,26.1
"1116",2005,"NC","Gender","Male",NA,15.6,15.5,43.5,36.8,NA,NA,NA
"1117",2007,"HI","Grade","11th",20.7,17.7,12.1,7.1,31.2,42.4,46.6,16.8
"1118",2017,"MT","Total","Total",15.1,11.7,14.6,34.7,18,37.3,41.6,28
"1119",2019,"LA","Grade","11th",21.4,19.7,15.2,13.3,25.8,55.5,51,19.1
"1120",2019,"OH","Grade","10th",14.4,18.5,15.4,NA,NA,44.8,48.1,26.9
"1121",2017,"ND","Grade","9th",13,11.7,15.1,NA,17.9,39.4,37.3,33.8
"1122",2013,"TN","Grade","10th",29.4,14,16.9,23,30.3,46.7,45.4,26.2
"1123",2013,"LA","Grade","9th",NA,16.1,16.3,43.1,42.1,NA,NA,NA
"1124",2001,"RI","Race/Ethnicity","Hispanic",NA,10.3,10.1,21.3,49.3,38.6,28.8,NA
"1125",2011,"IN","Grade","12th",29.5,15.2,17.8,10.5,26.8,40.5,50.8,14.9
"1126",2009,"RI","Race/Ethnicity","Non-Hispanic Black",22.7,11,20.3,30.4,48.7,53.5,47.6,23.6
"1127",2019,"NC","Race/Ethnicity","Hispanic",17.4,17.4,20.9,22.5,17,47.4,44.1,14.9
"1128",2003,"VI","Grade","10th",NA,11.8,16,49,68.1,53.7,42,NA
"1129",2015,"FL","Grade","10th",20.5,12.4,13.3,19.7,29.6,42.9,39.4,25.7
"1130",2019,"GU","Race/Ethnicity","2 or more races",9.7,16.6,14.6,7.2,20.5,44.3,49.6,28.2
"1131",2019,"AL","Race/Ethnicity","Non-Hispanic White",21.4,13.5,18.7,28.6,14.3,51,51.2,26.5
"1132",2013,"NV","Grade","11th",14.5,10.1,15.3,11.3,29.3,47.3,43.5,20.3
"1133",2015,"MD","Grade","10th",16.4,11.7,15.6,12,27.7,41.2,43.8,20
"1134",2019,"PR","Total","Total",25.2,14.4,15.6,28,20.6,64.3,52.3,15.3
"1135",2019,"TN","Gender","Female",23.5,17.3,19.6,17.1,24,48.8,52.5,13.6
"1136",2017,"NV","Grade","11th",16.2,13.1,13.4,22.2,NA,NA,42.4,25.4
"1137",2015,"IL","Gender","Male",22.3,16.7,16.1,61.8,22,42,39.7,33.8
"1138",2011,"AZ","Gender","Female",17.6,6.9,12.6,23.2,26.6,NA,NA,18.1
"1139",2017,"ME","Race/Ethnicity","American Indian/Alaska Native",NA,20.2,20,9.2,28.9,NA,47.9,23.9
"1140",2013,"DE","Race/Ethnicity","Hispanic",20.9,17.5,18.6,12.1,42.8,NA,33.2,22.7
"1141",2005,"AZ","Race/Ethnicity","American Indian/Alaska Native",NA,21.7,16.5,27.2,34.5,33.1,39.2,NA
"1142",2019,"MT","Race/Ethnicity","Non-Hispanic White",12.5,10.1,12.5,32.4,18.1,36.1,45,26.1
"1143",2013,"NV","Gender","Female",13.5,7.5,14.9,25.8,29.9,40,40.4,17.2
"1144",2001,"NJ","Gender","Female",NA,6,13.3,66.9,37.2,31.5,37.2,NA
"1145",2009,"MS","Grade","9th",41.5,17.6,16.9,31.8,47.6,45.6,42.5,26.5
"1146",2017,"ND","Gender","Female",11.4,12.9,16.1,NA,18.1,38.4,38.9,17.7
"1147",2019,"TN","Grade","9th",25.5,18.4,17.2,38.5,26.3,50.2,46.8,29.2
"1148",2011,"VT","Race/Ethnicity","Asian",17.4,4.1,8.4,10.9,NA,20.1,29.1,16.2
"1149",2019,"AR","Grade","12th",21.8,28.9,22.2,12.1,20.6,50.2,53.4,23.2
"1150",2011,"TN","Grade","12th",37.9,14.5,16.8,12.5,36.8,42.4,45.5,27.8
"1151",2011,"MS","Grade","11th",36.5,12.6,14.6,27.7,39.3,42.8,41.8,23.6
"1152",2009,"KY","Race/Ethnicity","Non-Hispanic White",37.5,17.2,15.2,24.2,26.7,40.3,50.3,23.1
"1153",2017,"IA","Grade","10th",19.5,17.5,13.3,13.4,17.1,41.7,39.8,29.4
"1154",2019,"CT","Race/Ethnicity","2 or more races",11.7,15.6,14.9,NA,29.9,44.7,45.4,15.6
"1155",2019,"OK","Grade","11th",20,17.3,15.7,26.2,21.3,55.5,55.5,24.9
"1156",2017,"NC","Race/Ethnicity","Asian",9.6,3.5,20.4,22.5,19.3,27.2,48.2,9.8
"1157",2017,"ID","Race/Ethnicity","Non-Hispanic White",11,10.3,13.7,19,15.3,37.5,39.5,23.9
"1158",2007,"ID","Grade","12th",22.1,10.6,9.4,27.5,18,36,44.2,21.2
"1159",2017,"KS","Grade","9th",14.8,12.3,17.5,46.6,15.3,42.9,37.7,33.3
"1160",2013,"KS","Gender","Male",24.2,15.9,18,33.1,26.2,34.6,37.6,37.1
"1161",2005,"MT","Grade","9th",NA,8.1,14.2,50.8,28.2,41.2,42.2,NA
"1162",2007,"LA","Grade","11th",38.5,14.5,15.3,30.6,31.2,48.9,54.6,21.5
"1163",2009,"AK","Grade","11th",19.4,14.1,12.1,16.9,21,32.8,38.6,20.1
"1164",2019,"LA","Race/Ethnicity","Hispanic",20.4,17.4,21.7,20.9,30.9,53.3,50.9,19.5
"1165",2009,"WV","Grade","9th",33.6,15.3,16.9,42.6,36,37.4,40.8,25.8
"1166",2007,"AK","Grade","10th",25,11.6,16.9,19.3,24.5,40.2,42.9,19.2
"1167",2019,"VT","Gender","Female",NA,10.7,14.7,NA,NA,26.6,37.6,15.3
"1168",2007,"ME","Grade","11th",14.7,15.1,12.2,3.7,19.7,23.2,35.8,NA
"1169",2011,"MD","Grade","9th",26.8,12.9,16.6,32.4,39.4,41.2,42.5,NA
"1170",2017,"UT","Grade","11th",15.1,7.5,12,8.2,16.6,41.1,40,17.2
"1171",2005,"IA","Grade","12th",NA,13.5,14.2,10.9,29.2,46.5,51.2,NA
"1172",2015,"NH","Race/Ethnicity","Non-Hispanic Black",16.6,9.3,16.7,NA,31,NA,NA,23.9
"1173",2019,"MS","Gender","Male",26.4,25.8,14.4,29.1,24.6,53.2,45.2,31.5
"1174",2017,"PA","Race/Ethnicity","Hispanic",19.4,18.6,18.6,19.7,23.5,49.4,47.6,22.4
"1175",2019,"NY","Grade","12th",15.6,14,15.9,17.9,15.6,NA,43.7,18
"1176",2019,"SD","Grade","12th",16.8,16.2,11.9,12.6,NA,43.3,52,29.1
"1177",2019,"NY","Grade","9th",14.1,14.7,16.4,18.9,20.6,NA,42.8,22.3
"1178",2017,"AR","Grade","9th",31.3,21.5,15.9,40.6,24.9,49.2,50.5,25.7
"1179",2011,"OH","Gender","Male",28.3,17.4,17.2,26.7,32.5,43.6,40.5,35.3
"1180",2019,"FL","Grade","10th",15.9,15,14.9,18.9,23.1,48.9,45.4,22.5
"1181",2017,"MD","Total","Total",14,12.6,15.2,15.3,22.1,42.6,46.1,17.9
"1182",2009,"CO","Grade","11th",27.1,7.2,12.5,12.6,26.1,31.3,30.5,25.5
"1183",2003,"MI","Race/Ethnicity","2 or more races",NA,15.6,19.7,32.2,36,42,42.1,NA
"1184",2009,"NV","Grade","12th",21.6,9.6,13.1,NA,35.6,41.3,49.7,19.4
"1185",2007,"FL","Grade","12th",31.7,9.6,15.1,19.2,34.9,39.8,42.6,NA
"1186",2009,"LA","Grade","12th",37.1,14.6,13.1,20.9,37.8,37.4,44.7,NA
"1187",2003,"ID","Grade","11th",NA,5.7,13.5,31,21.3,31.5,32.8,NA
"1188",2019,"VA","Race/Ethnicity","2 or more races",17.6,15.7,14,NA,23.8,NA,41.9,22.6
"1189",2005,"NJ","Grade","10th",NA,9.9,16.9,62.3,37.6,42.7,44.3,NA
"1190",2013,"NC","Grade","11th",28.9,12.5,12.3,NA,32.4,38.1,42.8,26.4
"1191",2019,"MO","Gender","Female",17.6,13.9,17,25.3,21.2,41.3,50,21.3
"1192",2017,"CT","Grade","12th",11.9,12.5,18.7,6.2,17.3,37.5,41.6,21.7
"1193",2019,"PR","Grade","11th",25.6,16.7,15.7,15.6,18.8,58.7,52,14.2
"1194",2011,"MD","Grade","10th",21,12.3,15.2,18.4,31.9,37.7,36.9,NA
"1195",2019,"PA","Grade","10th",15,13.2,14.2,25.7,20.7,44,42,25.2
"1196",2019,"SC","Gender","Male",21.3,20.2,13,14.8,18.5,51.5,51.8,24
"1197",2003,"ND","Race/Ethnicity","American Indian/Alaska Native",NA,14.8,17.1,36.1,30.2,27.7,36.2,NA
"1198",2013,"NC","Race/Ethnicity","2 or more races",30.6,16.2,13.1,NA,37.4,32.4,31,33.9
"1199",2011,"MT","Gender","Male",29.7,11.4,14,37,24.6,33.9,39,36.1
"1200",2013,"NC","Race/Ethnicity","Hispanic",16,13.6,15.3,NA,35.2,47.6,41.2,21.7
"1201",2009,"IN","Race/Ethnicity","Hispanic",16.6,19,17.9,30.1,30.8,45.8,39.5,24.6
"1202",2001,"RI","Total","Total",NA,9.1,14,15.6,34.1,29.4,30.4,NA
"1203",2003,"NY","Gender","Male",NA,16.3,16.7,18.5,47.4,38.2,33,NA
"1204",2011,"SD","Gender","Female",20.1,7.5,14.3,18.4,22,36.9,40,17.1
"1205",2015,"VA","Race/Ethnicity","Asian",8,5.9,11.1,3.1,12.2,29.4,31.5,16
"1206",2017,"WI","Grade","9th",14,15.3,16,41.8,19.6,42,38.6,24.8
"1207",2005,"NH","Gender","Female",NA,7.7,11.8,NA,19.7,NA,NA,NA
"1208",2019,"PA","Race/Ethnicity","Asian",6.4,NA,NA,9.1,17.9,24.4,42.5,14.9
"1209",2007,"IA","Total","Total",32.6,11.1,13.2,20,24.9,32.1,37.8,26.3
"1210",2009,"RI","Grade","11th",20.3,9.2,16.3,23.1,27.5,36.7,36.1,19.1
"1211",2009,"US","Grade","10th",29.2,10.8,16.8,33.7,34.7,38.1,34.5,NA
"1212",2011,"TN","Race/Ethnicity","Hispanic",33.7,23.4,13.1,21.2,41,41.3,40.8,26.1
"1213",2017,"NH","Total","Total",12.5,12.8,14.1,NA,NA,NA,38.3,23
"1214",2005,"NJ","Total","Total",NA,11.3,15.2,60.7,35.8,41.7,41.2,NA
"1215",2017,"AK","Race/Ethnicity","Non-Hispanic White",12.7,11.9,14.7,13.5,15.8,33.9,43.5,23.1
"1216",2003,"VI","Race/Ethnicity","Hispanic",NA,20,15.7,33.6,59.9,45.7,42.6,NA
"1217",2009,"ND","Grade","10th",29.3,10.6,11.7,NA,25,44.9,42,NA
"1218",2017,"NC","Grade","11th",21.4,14.6,16.3,16.8,22.2,43.2,40.6,22.8
"1219",2013,"ME","Race/Ethnicity","Non-Hispanic White",NA,11.4,14,4.3,23,NA,36.6,22.4
"1220",2005,"NE","Gender","Female",NA,7.7,12.7,28.1,25.5,39,42.8,NA
"1221",2019,"NY","Gender","Female",9.7,11.4,16.8,16.4,19.3,NA,45.1,14.5
"1222",2019,"RI","Grade","9th",NA,13.3,15.5,7.6,NA,43.6,39.8,21.6
"1223",2005,"GA","Race/Ethnicity","Hispanic",NA,17.2,16,NA,44.3,44.8,39.5,NA
"1224",2011,"MD","Gender","Female",22.5,10.5,15.3,14.5,33.8,40.1,39.6,NA
"1225",2017,"AZ","Grade","12th",22.6,13.5,13.6,20.9,15.2,40.7,48.7,20.6
"1226",2005,"IN","Grade","12th",NA,13.5,13.1,9.1,24.6,35.6,50.5,NA
"1227",2007,"MI","Race/Ethnicity","Hispanic",27.2,14.2,15.9,27.6,39.6,47.2,41.9,19.8
"1228",2009,"AL","Gender","Female",35.7,9.6,19.3,29.6,36.8,44.2,51.6,13.4
"1229",2003,"ME","Grade","9th",NA,14.5,16.7,9.6,27.9,32.5,39.1,NA
"1230",2019,"NV","Grade","12th",11.7,10.3,17.8,15.2,NA,NA,52.7,24.5
"1231",2009,"NY","Gender","Female",19.1,7.1,13.5,15.8,29.9,NA,38.2,14.7
"1232",2017,"MA","Race/Ethnicity","Hispanic",12.5,17.5,20,17.9,NA,49.3,46.5,20.1
"1233",2005,"FL","Grade","11th",NA,11.7,14.1,22.3,38,24.1,41.2,NA
"1234",2011,"TX","Grade","9th",30.1,16.4,17.2,50.5,36.5,47.7,43.3,29.2
"1235",2019,"RI","Race/Ethnicity","Non-Hispanic Black",NA,10.6,19.6,25.9,NA,49.8,40.3,20.6
"1236",2009,"MT","Grade","10th",27.4,9.8,12,35.7,24.1,32.6,36.9,24.2
"1237",2011,"NJ","Race/Ethnicity","Non-Hispanic Black",20.1,17.2,18.7,50.2,53.4,41.4,37,NA
"1238",2011,"OH","Race/Ethnicity","Non-Hispanic White",25.5,14.2,14.7,23.5,26.8,40.5,43.9,25.3
"1239",2007,"IN","Race/Ethnicity","Non-Hispanic Black",36.9,16,18.7,31.5,58.5,48.8,36.7,26.3
"1240",2005,"IN","Grade","9th",NA,17.4,14.7,55,41.8,41.3,43.8,NA
"1241",2013,"RI","Grade","9th",21.7,9.7,16.8,24.8,28.1,40.9,39.2,24
"1242",2009,"NV","Gender","Female",17.6,6.5,13.2,NA,36.4,47.3,47.4,16.5
"1243",2017,"MT","Gender","Female",10.9,8.7,14.2,30.5,18.6,37.5,43,18.7
"1244",2007,"DE","Race/Ethnicity","Non-Hispanic Black",30.4,16.2,20.6,31.3,60,NA,45.4,21.9
"1245",2003,"NE","Gender","Female",NA,5.9,12.9,30.5,25.6,34.1,44.6,NA
"1246",2013,"MS","Race/Ethnicity","Non-Hispanic Black",40.6,16.6,14.8,28,48.4,45.7,46.3,22
"1247",2005,"NY","Gender","Female",NA,7.8,15.9,16.9,39.9,39.4,41.1,NA
"1248",2011,"UT","Grade","9th",13.1,8.1,12,33.9,19.8,32.7,32.7,23.8
"1249",2019,"SD","Gender","Male",17.7,17.9,15.6,22.4,NA,42.9,43,35.1
"1250",2011,"VT","Grade","9th",15,9.2,13.5,16.8,NA,28.7,32.2,26.9
"1251",2017,"AR","Gender","Male",33,24.3,16.2,26.8,22.7,48.7,49.6,28.3
"1252",2001,"US","Race/Ethnicity","American Indian/Alaska Native",NA,17.2,19.4,41.1,48.5,32.7,36.5,NA
"1253",2015,"MD","Grade","11th",16.3,11.7,14.7,9.9,26.1,40.7,42.6,17.7
"1254",2005,"NY","Race/Ethnicity","Hawaiian/Pacific Islander",NA,14.8,9.5,NA,58.1,49.3,39.3,NA
"1255",2017,"VA","Race/Ethnicity","2 or more races",14,10.6,19.8,10,19.2,39.9,41,26.4
"1256",2017,"US","Race/Ethnicity","Non-Hispanic Black",21.5,18.2,17.8,28.5,35.2,50.6,39.3,24.5
"1257",2007,"MA","Grade","11th",23.7,10.6,14.5,17.3,26,NA,NA,19.4
"1258",2019,"AK","Race/Ethnicity","Non-Hispanic White",10.2,11.4,15.9,12.5,17.6,31.6,47.1,21.2
"1259",2019,"AR","Race/Ethnicity","Non-Hispanic Black",12.4,25,19.1,20.7,30.6,63.7,46.4,21.8
"1260",2013,"HI","Grade","11th",12.7,11.3,17.3,6.4,30.8,NA,48.2,16.5
"1261",2001,"MA","Grade","10th",NA,10.6,15,18.2,29.2,NA,NA,NA
"1262",2007,"US","Race/Ethnicity","Non-Hispanic White",34,10.6,14.1,28.9,27.2,35.8,40.7,NA
"1263",2007,"SC","Total","Total",34.3,14.3,16.9,23.1,38.6,47,48.8,20.1
"1264",2003,"OH","Grade","12th",NA,16.8,16.5,9.7,27.6,NA,36.1,NA
"1265",2003,"US","Race/Ethnicity","American Indian/Alaska Native",NA,17.5,19.4,31.8,38.8,36.1,42.1,NA
"1266",2019,"OK","Total","Total",22.3,17.6,18.1,28.1,22.3,51.4,55.3,29.2
"1267",2019,"LA","Gender","Male",19.7,19.3,14.7,27.6,20.4,50.6,49.2,27.1
"1268",2015,"MD","Race/Ethnicity","2 or more races",17.3,12.8,15.6,15.8,27,37.5,40.5,21.4
"1269",2005,"SC","Gender","Female",NA,8.6,14.6,17.6,41.6,44.5,49.7,NA
"1270",2019,"GU","Gender","Male",19,25.8,16,13.3,19.5,43.9,49.6,23.7
"1271",2005,"CO","Grade","11th",NA,14,12.9,15.7,28.8,31.5,39.3,NA
"1272",2019,"FL","Grade","9th",16.9,13.7,17.8,35,22,50.1,45.3,22.7
"1273",2003,"WI","Gender","Male",NA,13.7,14.5,NA,NA,NA,NA,NA
"1274",2017,"IA","Race/Ethnicity","Non-Hispanic White",18.2,14.2,16.5,15.8,19.1,42.2,42.4,30.9
"1275",2011,"US","Gender","Female",24,9.8,15.4,27.2,31.6,38.4,38.4,18.5
"1276",2007,"SD","Total","Total",28.2,9,14.4,14.5,23.8,39.7,43,22.6
"1277",2019,"GA","Grade","10th",NA,14.5,19.8,NA,22.1,49.5,47.6,25
"1278",2019,"GA","Race/Ethnicity","2 or more races",NA,19.6,15.8,NA,15.2,51.9,41.6,22.5
"1279",2019,"US","Race/Ethnicity","American Indian/Alaska Native",NA,21.3,27.4,22.6,33.2,38.5,44,26.5
"1280",2019,"TN","Grade","10th",23.4,20.9,21.8,19.1,20.4,53.5,53.7,22.2
"1281",2007,"KS","Gender","Female",29.5,6.8,14,18,23.5,31.8,45.3,15.8
"1282",2017,"MD","Race/Ethnicity","Non-Hispanic White",14.2,9.9,12.9,16.4,18.2,35.9,43.6,21.5
"1283",2009,"US","Race/Ethnicity","Non-Hispanic White",29,10.2,13.5,30.6,24.8,32.7,34.4,NA
"1284",2009,"WI","Grade","12th",21.9,8.2,12.9,33.3,22.8,38.2,34,19.3
"1285",2011,"NY","Race/Ethnicity","Non-Hispanic Black",27.5,12.4,17.4,35.5,45.3,NA,42.7,23.4
"1286",2005,"UT","Grade","12th",NA,3.6,6.4,13.5,17.5,38.8,47.5,NA
"1287",2005,"KS","Grade","9th",NA,8.6,11.3,41.5,29.8,35.6,37,NA
"1288",2007,"OH","Gender","Female",23.8,8.4,14.4,22.7,31.4,39.8,44.3,18
"1289",2013,"MS","Grade","9th",38.4,19.8,12.5,30.6,44.9,49.7,46.5,29.3
"1290",2007,"IL","Race/Ethnicity","Hispanic",33,14.4,19.5,44.9,39,49.8,37,14
"1291",2007,"KY","Race/Ethnicity","Non-Hispanic White",42.2,15.1,15.4,20.3,25.5,41.6,53.8,17.7
"1292",2019,"GU","Gender","Female",11.1,21.3,21.1,7.8,20.5,47.1,60.3,14.8
"1293",2011,"WI","Race/Ethnicity","Non-Hispanic White",22.1,9.9,13.5,38.4,20.3,34.8,34.5,29.4
"1294",2001,"SD","Race/Ethnicity","American Indian/Alaska Native",NA,11.9,16.7,18.5,38.2,37.2,40.1,NA
"1295",2009,"NJ","Gender","Female",15.6,6.6,13.4,NA,31.6,36.4,37.1,NA
"1296",2007,"GA","Gender","Female",31.8,10.9,18.6,24.8,42.8,42.4,43.6,15.9
"1297",2011,"AL","Gender","Female",39,14.3,16.3,25.7,40.2,50,47.5,15
"1298",2017,"VT","Grade","9th",10.6,12.1,14.3,NA,NA,30.6,34.6,27.5
"1299",2015,"FL","Grade","9th",22.4,12.7,15.6,33.9,28.1,48.2,40.9,25.3
"1300",2017,"NV","Gender","Female",11.4,10.9,14.2,25.1,NA,NA,48.7,18.4
"1301",2019,"VA","Grade","10th",17.2,15.6,15.4,NA,21.5,NA,47.7,23.3
"1302",2007,"OK","Grade","9th",39.3,16.6,16,40,38.9,48,46.5,29
"1303",2007,"DC","Gender","Male",31.6,19.5,15.7,16.9,50.7,48.5,43.4,23.2
"1304",2007,"LA","Grade","12th",37.9,15.1,20.6,24.7,35,53.7,58.6,21
"1305",2015,"CA","Gender","Male",16.3,18.5,17.1,40.1,23.7,38.3,30.9,31.8
"1306",2003,"US","Race/Ethnicity","2 or more races",NA,9.6,17,33.1,46.2,37.9,40.4,NA
"1307",2005,"WI","Grade","10th",NA,10.5,12.8,73.2,26.4,NA,NA,NA
"1308",2019,"MT","Race/Ethnicity","Hispanic",15.1,14.8,12.4,34.3,24.7,39,43.3,23.5
"1309",2019,"KY","Gender","Female",23.5,14.6,20.3,14.7,24.1,52.6,53.3,13
"1310",2019,"AK","Total","Total",13.6,14.8,15,17,17.9,37.6,48.1,17.9
"1311",2009,"TN","Total","Total",41.3,15.7,16,22.9,37.7,43.9,47,24.2
"1312",2017,"ME","Gender","Male",NA,18.1,15.2,7.1,22.9,NA,41.1,23.8
"1313",2013,"LA","Grade","10th",NA,13.9,16.4,48.4,33.6,NA,NA,NA
"1314",2009,"MD","Race/Ethnicity","Hispanic",17.7,23.9,16.7,16,42.4,48.2,33.3,NA
"1315",2017,"TX","Race/Ethnicity","Non-Hispanic Black",14.9,23.3,15.5,28,32.4,44.5,47.2,28.2
"1316",2019,"NV","Grade","10th",10.9,12.9,17.9,16.8,NA,NA,45.4,20.9
"1317",2017,"TX","Race/Ethnicity","Hispanic",18.2,20.5,20.7,28.2,20.8,52.2,45.9,20.5
"1318",2017,"AK","Race/Ethnicity","2 or more races",11.6,15.1,21.7,17.6,21.5,41.3,43.3,15.1
"1319",2019,"NC","Grade","11th",19.8,18.8,18.9,16.1,17.5,48.2,50.2,16.8
"1320",2019,"US","Gender","Female",11.7,11.9,17.4,22.8,20.8,40.4,43,15.4
"1321",2015,"SD","Grade","12th",26.7,11.9,13.8,8.8,17.6,44.7,42.6,19.2
"1322",2001,"MI","Race/Ethnicity","Non-Hispanic Black",NA,16.9,17.7,34.9,57.4,52.4,46.3,NA
"1323",2013,"NY","Grade","12th",21.3,9.9,12.3,21.2,27.9,NA,39.7,23.8
"1324",2013,"TN","Grade","12th",35.7,16.3,14.5,14.8,36.6,45,41.4,21.4
"1325",2013,"IL","Grade","9th",19.8,10.1,15.6,65.8,28.1,43.5,37,28.5
"1326",2013,"AR","Gender","Male",33.1,23.7,16.7,24.7,35,40.2,43.9,34.3
"1327",2011,"IL","Grade","9th",27.9,12.9,15.5,63.8,27.8,43.5,37.5,25.5
"1328",2019,"TX","Grade","9th",19.1,19.3,15.5,58.3,22.9,52.9,52.1,23.6
"1329",2019,"CO","Grade","10th",NA,10.4,14,18,NA,34,48.2,25.6
"1330",2007,"AR","Gender","Male",42.4,18.3,14.8,30,37.3,49.2,52.2,NA
"1331",2015,"WY","Grade","10th",20.8,11.3,14.7,21.2,21.4,33.8,40.4,29.8
"1332",2001,"FL","Grade","12th",NA,9,11.7,13.7,35.8,42.8,46.5,NA
"1333",2003,"FL","Grade","12th",NA,11.6,10.8,21.6,35.9,40.6,45.2,NA
"1334",2009,"KY","Gender","Male",39.7,20.4,14.8,29.8,28.6,42.6,48.2,30.4
"1335",2011,"AK","Total","Total",17.6,11.5,14.4,17.4,23.8,34.1,39.1,21.3
"1336",2007,"MS","Grade","11th",47.9,19.5,16.9,18.8,46.8,44.4,40.6,19.4
"1337",2005,"CO","Grade","12th",NA,7.3,13.1,27.8,27.7,36.1,38.6,NA
"1338",2019,"PA","Gender","Male",17.1,17.9,12.8,28,18.9,42,44.5,32.6
"1339",2003,"VI","Grade","9th",NA,14.9,17.1,36.1,64.5,46.8,44.2,NA
"1340",2015,"NM","Gender","Male",24.3,19.5,15.9,30.8,24.6,38.5,43,38.3
"1341",2007,"OK","Grade","10th",40.9,13.2,13.4,37.4,33.6,42,50.2,29.2
"1342",2005,"TN","Gender","Female",NA,11.8,15.9,25,40.7,40.8,47.4,NA
"1343",2003,"ND","Grade","11th",NA,8,10.8,31.4,20,35.8,37.6,NA
"1344",2017,"VT","Grade","11th",11.1,13.7,14,NA,NA,28.3,34.7,23.7
"1345",2009,"VT","Gender","Male",29.6,16.1,14.7,20.8,NA,30,34.4,30.5
"1346",2013,"MI","Grade","12th",18.8,12.7,13.7,26.4,24.8,36.6,40.4,25.2
"1347",2007,"TX","Total","Total",37.8,15.5,15.2,40.5,38.5,46,44,25.7
"1348",2007,"AZ","Grade","9th",30.9,16.3,15.3,43.7,33.6,48.3,47.7,NA
"1349",2019,"MA","Grade","9th",10.4,11.4,15.4,29.6,NA,39,42,27.7
"1350",2017,"CA","Race/Ethnicity","Asian",5.5,4.4,12.1,33,12.4,26.4,40.8,26.5
"1351",2019,"NE","Grade","12th",20.9,14.4,14.7,25.3,15,40.5,49,18.9
"1352",2001,"WY","Grade","9th",NA,7.8,10,45.6,31.6,26.7,34.7,NA
"1353",2007,"AR","Race/Ethnicity","Non-Hispanic White",41.6,13.4,15.9,34,27.3,44.3,51.3,NA
"1354",2013,"NM","Race/Ethnicity","2 or more races",19.6,8.2,11.4,28.2,27.5,30,34,25.5
"1355",2007,"WI","Total","Total",25,11,13.9,NA,25.4,38.6,38,NA
"1356",2019,"DC","Race/Ethnicity","Asian",8.7,7.2,11.4,NA,13.2,NA,NA,12.8
"1357",2017,"MD","Race/Ethnicity","2 or more races",14.1,12.1,16,14.6,21.9,42.4,44.6,19.1
"1358",2017,"AR","Total","Total",32,21.7,18.1,23.9,23.2,48.3,50.9,21.4
