"","YearStart","LocationAbbr","StratificationCategory1","Stratification1","Soda","Obesity","Overweight","DailyPE","WatchTV","Veg","Fruit","Exercise"
"3451",2013,"SC","Gender","Male",29.5,18,15.3,NA,30.8,42.7,42.9,32.1
"3452",2007,"SD","Race/Ethnicity","American Indian/Alaska Native",31.5,18.4,16.1,16,28.5,47.8,38.8,19.3
"3453",2005,"MT","Grade","10th",NA,10.2,12.7,45.9,26.3,35.5,39.5,NA
"3454",2015,"NY","Grade","11th",12.5,12.8,13,21.7,23.3,NA,43.1,22.4
"3455",2003,"SD","Grade","9th",NA,10.4,16.9,26.6,34.1,31.4,39.6,NA
"3456",2009,"GA","Gender","Female",27.1,10.3,15.7,26.8,39.9,42.3,44.7,14.3
"3457",2013,"MA","Race/Ethnicity","Non-Hispanic White",13.4,8.8,12.2,17,21.7,NA,NA,24.4
"3458",2013,"MD","Grade","9th",18.6,11.3,15.9,30.5,33.4,40.7,40.5,23.1
"3459",2017,"VA","Total","Total",16.4,12.7,15.5,12.9,18.9,38.9,42.2,22.4
"3460",2005,"AR","Grade","12th",NA,12.8,12.6,18.1,36.7,44,54.2,NA
"3461",2015,"US","Race/Ethnicity","Asian",8.9,5.5,11.9,25.9,14.5,26.9,33.5,16.5
"3462",2011,"NY","Race/Ethnicity","American Indian/Alaska Native",29.2,10.5,17.5,30.1,37.2,NA,31.1,20.7
"3463",2003,"MA","Total","Total",NA,9.8,13.6,13.7,31.3,NA,NA,NA
"3464",2015,"MD","Race/Ethnicity","Non-Hispanic White",16.8,9.2,12.8,17.7,20.9,34.5,41.3,22.7
"3465",2015,"OK","Race/Ethnicity","Non-Hispanic White",30.5,13,14.7,32.1,22.3,39.6,48.6,33
"3466",2015,"KY","Gender","Female",31.6,16.2,19.2,19.3,25.4,41.2,47.3,12.9
"3467",2011,"SC","Grade","9th",31.8,14.9,18.5,46.3,41.1,48.5,46.6,32.1
"3468",2003,"KY","Race/Ethnicity","Non-Hispanic White",NA,14.2,15,24.5,28.5,43.9,53.7,NA
"3469",2007,"WY","Total","Total",27.9,9.2,11.3,21.9,20.8,34.7,43.7,26.4
"3470",2007,"NV","Grade","9th",26.1,10.6,14.7,NA,40,41.7,40.6,23.6
"3471",2007,"AZ","Total","Total",29.5,11.6,14,26.9,28.2,44.4,46.2,NA
"3472",2007,"AZ","Race/Ethnicity","Non-Hispanic White",30.6,7,10,27.8,22.1,40.6,46.2,NA
"3473",2015,"TN","Grade","10th",28.6,17.9,15.7,19.8,29.2,50,47.4,26.6
"3474",2003,"NC","Race/Ethnicity","2 or more races",NA,14.5,12,32.3,NA,31.7,42.3,NA
"3475",2009,"HI","Race/Ethnicity","Non-Hispanic White",29,4.6,9.3,3.3,26.3,36.2,41.2,22
"3476",2009,"NC","Race/Ethnicity","Non-Hispanic Black",29.4,18.5,19.3,NA,54.6,49.1,46.1,19.7
